id,scheduled_date,image_url,title,description,link,board,status,posted_at,pin_id
pin-rated-smartwatch-pro,2026-06-13,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/8e617793-8686-478b-88fd-5e68e5702df9.jpg?v=1780140943,Smartwatch Pro «AMOLED»,"Smartwatch Pro «AMOLED» · CHF 69.90 ⌚ Herzfrequenz, Fitness-Tracking & Bluetooth-Calls. ★ 5,0 (5 Bewertungen) · –10% mit Code WELCOME10 | Schweizer Online-Shop · Gratis-Versand ab CHF 65 · –10% mit Code WELCOME10. #schweiz #bern #luxestyle",https://luxestyle.ch/products/smartwatch-pro-1-78-amoled-herzfrequenz-fitness-tracker-bluetooth,,ready,,
pin-rated-gemueseschneider,2026-06-13,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/a67763bb-02b6-46f2-8aa2-210216dbf6d0.png?v=1780141728,Elektrischer Gemüseschneider ,"Elektrischer Gemüseschneider · CHF 39.90 🔪 Schneiden, reiben & hobeln in Sekunden. ★ 5,0 (2 Bewertungen) · –10% mit Code WELCOME10 | Schweizer Online-Shop · Gratis-Versand ab CHF 65 · –10% mit Code WELCOME10. #schweiz #bern #luxestyle",https://luxestyle.ch/products/elektrischer-gemuseschneider-multifunktional-schneiden-reiben-hobeln,,ready,,
pin-rated-robo-ventilator,2026-06-14,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/54af95a7-c314-4146-885b-78b188722d20_trans.jpg?v=1780222013,Roboter Mini-Ventilator ,"Roboter Mini-Ventilator · CHF 19.90 🤖 USB, leise, mit Digitalanzeige — cooler Begleiter für heisse Tage. ★ 5,0 (2 Bewertungen) · –10% WELCOME10 | Schweizer Online-Shop · Gratis-Versand ab CHF 65 · –10% mit Code WELCOME10. #schweiz #bern #luxestyle",https://luxestyle.ch/products/roboter-mini-ventilator-usb-tischventilator-mit-digitalanzeige-leise,,ready,,
pin-new-gala-sandalette,2026-06-14,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/7bf5ab15-c1f2-4d08-8f90-d80f0ffcab79.jpg?v=1780945950,Stiletto-Sandalette «Gala»,Stiletto-Sandalette «Gala» · CHF 54.90 👠 Violett mit Knöchelriemen — dein Auftritt für laue Sommerabende. –10% mit Code WELCOME10 | Schweizer Online-Shop · Gratis-Versand ab CHF 65 · –10% mit Code WELCOME10. #schweiz #bern #luxestyle,https://luxestyle.ch/products/stiletto-sandalette-gala-violett-knochelriemen,,ready,,
pin-new-flexhold,2026-06-15,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/08ccb8bf-069c-4859-b815-cb5173a3e9f5.jpg?v=1780897582,Boden-Ständer «FlexHold»,"Boden-Ständer «FlexHold» · CHF 24.90 📱 Für Handy & Tablet, höhenverstellbar — Hände frei beim Kochen, Lernen & Filmen. –10% WELCOME10 | Schweizer Online-Shop · Gratis-Versand ab CHF 65 · –10% mit Code WELCOME10. #schweiz #bern #luxestyle",https://luxestyle.ch/products/boden-stander-flexhold-fur-handy-tablet-hohenverstellbar,,ready,,
pin-new-glow-serum,2026-06-15,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/6de4cd13-ce79-4c95-a35d-1d67563487a6.jpg?v=1780950381,Vitamin-C-Serum «Glow»,Vitamin-C-Serum «Glow» · CHF 19.90 ✨ Straffend & strahlend für deinen Sommer-Teint. –10% mit Code WELCOME10 | Schweizer Online-Shop · Gratis-Versand ab CHF 65 · –10% mit Code WELCOME10. #schweiz #bern #luxestyle,https://luxestyle.ch/products/vitamin-c-serum-glow-straffend-strahlend,,ready,,
pin-new-cloud-sneaker,2026-06-16,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/6d900035-347b-406c-8469-181668807d25.jpg?v=1780939378,Plateau-Sneaker «Cloud»,"Plateau-Sneaker «Cloud» · CHF 39.90 ☁️ Spitzen-Mesh, geschnürt — leicht & bequem den ganzen Tag. –10% WELCOME10 | Schweizer Online-Shop · Gratis-Versand ab CHF 65 · –10% mit Code WELCOME10. #schweiz #bern #luxestyle",https://luxestyle.ch/products/plateau-sneaker-cloud-spitzen-mesh-geschnurt,,ready,,
pin-new-lino-set,2026-06-16,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/19a35734-aee3-4996-99ec-d9ce9d725eef.jpg?v=1780945369,Leinen-Set «Lino»,Leinen-Set «Lino» · CHF 59.90 🌿 Weste + weite Hose — luftig-elegant für heisse Tage. –10% mit Code WELCOME10 | Schweizer Online-Shop · Gratis-Versand ab CHF 65 · –10% mit Code WELCOME10. #schweiz #bern #luxestyle,https://luxestyle.ch/products/leinen-set-lino-weste-weite-hose,,ready,,
pin-edit-ibiza-20260610,2026-06-17,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/boho-kleid-ibiza-baumwoll-leinen-locker-edit.jpg?v=1781097451,Boho-Kleid «Ibiza»,"Boho-Kleid «Ibiza» 🌿 luftiges Baumwoll-Leinen für heisse Tage. ★ 4,5 (15 Bewertungen) · –10% mit Code WELCOME10 | Schweizer Online-Shop · Gratis-Versand ab CHF 65 · –10% mit Code WELCOME10. #schweiz #bern #luxestyle",https://luxestyle.ch/products/boho-kleid-ibiza-baumwoll-leinen-locker,,ready,,
pin-edit-plateau-20260610,2026-06-17,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/wt-plateau-20260610.jpg?v=1781115416,"Plateau-Sandalen im Retro-Style 👡 Komfort-Sohle, den ganzen Tag bequem. ★ 4,7 (21 Bewertungen) ","Plateau-Sandalen im Retro-Style 👡 Komfort-Sohle, den ganzen Tag bequem. ★ 4,7 (21 Bewertungen) · –10% WELCOME10 | Schweizer Online-Shop · Gratis-Versand ab CHF 65 · –10% mit Code WELCOME10. #schweiz #bern #luxestyle",https://luxestyle.ch/products/plateau-sandalen-damen-retro-style-mit-komfort-sohle-sommer-2026,,ready,,
pin-edit-marco-20260610,2026-06-18,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/wt-marco-20260610.jpg?v=1781115416,Herren-Sneaker «Marco»,"Herren-Sneaker «Marco» 👟 cleaner Retro-Trainer in Leder-Optik, vielseitig. –10% mit Code WELCOME10 | Schweizer Online-Shop · Gratis-Versand ab CHF 65 · –10% mit Code WELCOME10. #schweiz #bern #luxestyle",https://luxestyle.ch/products/herren-sneaker-marco-leder-optik-retro-trainer,,ready,,
